symbol,fiscal_year,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Earnings From Equity Interest,Total Other Finance Cost,Restructuring And Mergern Acquisition,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Other Special Charges,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Impairment Of Capital Assets,Minority Interests,Net Income Discontinuous Operations,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Taxes,Average Dilution Earnings,Rent Expense Supplemental
WMT,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117812000000.0,,,,,-2410000000.0,-2410000000.0,-2410000000.0,,,,,,,,,,,,,,,,,,2410000000.0,,,,,,,,,,,
TGT,2026-01-31,0.0,0.222782,8346000000.0,3705000000.0,3134000000.0,74994000000.0,8346000000.0,5212000000.0,-445000000.0,445000000.0,,3705000000.0,3705000000.0,99663000000.0,5117000000.0,455600000.0,454100000.0,8.13,8.16,3705000000.0,3705000000.0,3705000000.0,3705000000.0,3705000000.0,1062000000.0,4767000000.0,95000000.0,95000000.0,-445000000.0,445000000.0,,5117000000.0,24152000000.0,,21535000000.0,29269000000.0,75511000000.0,104780000000.0,104780000000.0,,,,,,,,,,,,,,2617000000.0,2617000000.0,,,,,,,,,,,,,,,,,
TGT,2025-01-31,0.0,0.222391,8653000000.0,4091000000.0,2981000000.0,76050000000.0,8653000000.0,5672000000.0,-411000000.0,411000000.0,,4091000000.0,4091000000.0,101000000000.0,5566000000.0,461800000.0,460400000.0,8.86,8.89,4091000000.0,4091000000.0,4091000000.0,4091000000.0,4091000000.0,1170000000.0,5261000000.0,106000000.0,106000000.0,-411000000.0,411000000.0,,5566000000.0,24498000000.0,,21969000000.0,30064000000.0,76502000000.0,106566000000.0,106566000000.0,,,,,,,,,,,,,,2529000000.0,2529000000.0,,,,,,,,,,,,,,,,,
TGT,2024-01-31,0.0,0.219,8600000000.0,4138000000.0,2801000000.0,77442000000.0,8600000000.0,5799000000.0,-502000000.0,502000000.0,,4138000000.0,4138000000.0,101705000000.0,5707000000.0,462800000.0,461500000.0,8.94,8.96,4138000000.0,4138000000.0,4138000000.0,4138000000.0,4138000000.0,1159000000.0,5297000000.0,92000000.0,92000000.0,-502000000.0,502000000.0,,5707000000.0,23877000000.0,,21462000000.0,29584000000.0,77828000000.0,107412000000.0,107412000000.0,,,,,,,,,,,,,,2415000000.0,2415000000.0,,,,,,,,,,,,,,,,,
TGT,2023-01-31,0.0,0.187,6596000000.0,2780000000.0,2700000000.0,81991000000.0,6596000000.0,3896000000.0,-478000000.0,478000000.0,,2780000000.0,2780000000.0,105272000000.0,3848000000.0,464700000.0,462100000.0,5.98,6.02,2780000000.0,2780000000.0,2780000000.0,2780000000.0,2780000000.0,638000000.0,3418000000.0,48000000.0,48000000.0,-478000000.0,478000000.0,,3848000000.0,22966000000.0,,20581000000.0,26814000000.0,82306000000.0,109120000000.0,109120000000.0,,,,,,,,,,,,,,2385000000.0,2385000000.0,,,,,,,,,,,,,,,,,
TGT,2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
CAT,2025-12-31,66675678.017503,0.239841,14027000000.0,8884000000.0,2262000000.0,46111000000.0,14305000000.0,12043000000.0,-502000000.0,502000000.0,,8672675678.017504,8884000000.0,56438000000.0,11151000000.0,472300000.0,470000000.0,18.81,18.9,8884000000.0,8884000000.0,8884000000.0,8882000000.0,8882000000.0,2768000000.0,11541000000.0,892000000.0,614000000.0,-502000000.0,502000000.0,,11151000000.0,10327000000.0,2148000000.0,6985000000.0,21478000000.0,46111000000.0,67589000000.0,67589000000.0,278000000.0,278000000.0,,,278000000.0,,,,,,,109000000.0,1194000000.0,,,,,,,,,,,,,2000000.0,,,,,,
CAT,2024-12-31,116381365.437822,0.19659,15446000000.0,10792000000.0,2153000000.0,41485000000.0,16038000000.0,13885000000.0,-512000000.0,512000000.0,482000000.0,10316381365.437822,10792000000.0,51737000000.0,13072000000.0,489400000.0,486700000.0,22.05,22.17,10792000000.0,10792000000.0,10792000000.0,10788000000.0,10788000000.0,2629000000.0,13373000000.0,813000000.0,221000000.0,-512000000.0,512000000.0,482000000.0,13072000000.0,10252000000.0,2107000000.0,6667000000.0,23324000000.0,41485000000.0,64809000000.0,64809000000.0,592000000.0,592000000.0,0.0,,592000000.0,,,,,,,44000000.0,1478000000.0,,,,,,,,,,,,0.0,4000000.0,,,,,,
CAT,2023-12-31,87117000.0,0.213,15296000000.0,10335000000.0,2144000000.0,43797000000.0,15705000000.0,13561000000.0,-511000000.0,511000000.0,494000000.0,10013117000.0,10335000000.0,54094000000.0,12966000000.0,513600000.0,510600000.0,20.12,20.24,10335000000.0,10335000000.0,10335000000.0,10332000000.0,10332000000.0,2781000000.0,13050000000.0,595000000.0,186000000.0,-511000000.0,511000000.0,494000000.0,12966000000.0,10297000000.0,2108000000.0,6371000000.0,23263000000.0,43797000000.0,67060000000.0,67060000000.0,409000000.0,409000000.0,0.0,,409000000.0,,,,,,,63000000.0,1818000000.0,,,,,,,,,,,,0.0,3000000.0,,,,,,
CAT,2022-12-31,-167560000.0,0.236,12124000000.0,6705000000.0,2219000000.0,41915000000.0,11414000000.0,9195000000.0,-443000000.0,443000000.0,167000000.0,7247440000.0,6705000000.0,50598000000.0,7904000000.0,530400000.0,526900000.0,12.64,12.72,6705000000.0,6705000000.0,6705000000.0,6704000000.0,6704000000.0,2067000000.0,8752000000.0,366000000.0,1076000000.0,-443000000.0,443000000.0,167000000.0,8829000000.0,8683000000.0,1814000000.0,5651000000.0,17512000000.0,41915000000.0,59427000000.0,59427000000.0,-710000000.0,-710000000.0,-925000000.0,,215000000.0,,,,,,,19000000.0,1218000000.0,,,,,,,,,,,,925000000.0,1000000.0,,,,,,
CAT,2021-12-31,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,,80000000.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
